source_id,verdict,phot_g_mean_mag,bp_rp,d_pc,period,significance,l,b,activityindex_espcs,activityindex_espcs_uncertainty,activityindex_espcs_input,amp_g,amp_g_baseline,damp_g,amp_bp,damp_bp,amp_rp,damp_rp,phot_variable_flag,in_vari_summary,std_dev_mag_g_fov,range_mag_g_fov,stetson_mag_g_fov,in_vari_rotation_modulation,ruwe,ipd_frac_multi_peak,ipd_gof_harmonic_amplitude,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,phot_bp_rp_excess_factor,phot_g_n_obs,visibility_periods_used,notes
4578398926673187328,CONFIRMED,15.024651,0.94211483,1348.5587496572516,728.0659622311815,32.136932,51.002849378701264,18.950923132783533,,,,-2.3474349022325045,-2.2427247955465104,-0.10471010668599412,-1.9470085194662161,-0.06466309965156913,-2.0979906130829016,0.07907993073508335,NOT_AVAILABLE,False,,,,,2.1827495,0,0.017707074,0.43306854,61.826027,34.89665,1.2103649,561,28,"synthetic reversal store, scenario d2_reversal"
4888385889154753408,SPURIOUS,16.135542,1.4624271,559.1699740811791,1035.4936792960862,12.104446,226.77447730016576,-49.96410013491864,,,,-2.074100333519945,-2.032845465256333,-0.04125486826361202,-1.4598946623694051,0.058617124738749915,-1.7300032605389404,0.18393490429596193,NOT_AVAILABLE,False,,,,,2.6137276,0,0.019613184,0.9187519,103.9001,46.84667,1.266917,674,30,"synthetic reversal store, scenario d2_reversal"
5524463123993844608,SPURIOUS,15.339027,1.4928198,408.27933155394135,243.4991458538008,33.26264,263.0439680287472,2.095674529739473,,,,-2.19811347540279,-2.175131367249337,-0.022982108153452696,-1.7356974639316267,0.04684836102295642,-2.175777363027019,-0.07885405790876732,NOT_AVAILABLE,False,,,,,2.3494573,0,0.012076534,0.5480819,64.71447,35.234356,1.2696028,483,28,"synthetic reversal store, scenario d2_reversal"
5301976396358296704,CONFIRMED,17.35406,2.2501984,475.4350938531894,685.990229796677,18.532885,276.14037619966365,-12.355251703625893,,,,-1.63040130939752,-1.8699974574269653,0.2395961480294453,-0.9289729602493038,0.22840843591172688,-1.4912852652902806,0.1996633152796985,VARIABLE,True,0.020720014,0.074877046,2.6152408,0.0,1.5694996,0,0.009974371,0.8838677,20.720861,14.500713,1.374747,565,27,"synthetic reversal store, scenario d2_reversal"
5992613081828524288,SPURIOUS,16.340082,2.4791489,190.1725653801726,956.8704495835286,30.68069,339.2338118352523,4.115975334276529,,,,-1.9830524092467212,-1.9984913532693518,0.015438944022630574,-1.4418245503353468,0.0203429107976143,-2.0011961251513024,-0.11689931855778157,NOT_AVAILABLE,False,,,,,5.680199,0,0.016561208,1.490213,175.46272,97.073006,1.413727,475,18,"synthetic reversal store, scenario d2_reversal"
4783369128404125952,CONFIRMED,6.354781,0.94613457,385.47301341275016,714.2288634233597,105.56449,259.0325605604773,-39.31532049482383,,,,-2.4801284153012393,-2.4348710221003462,-0.04525739320089306,-2.303634997322739,0.0583564615929526,-2.467231571270093,0.0921135699189124,NOT_AVAILABLE,False,,,,,9.110707,0,0.0023601556,1.4648557,2644.4326,116.78818,1.2162213,285,22,"synthetic reversal store, scenario d2_reversal"
2004175948136111360,CONFIRMED,12.475311,0.57731533,2831.7488522271074,884.1157278877239,23.427845,99.16856966205788,-3.345321535341161,,,M2,-2.335107735954333,-2.430278513427212,0.09517077747287894,-2.2961661759896455,0.06435941188772709,-2.482707909809334,0.08946803293382821,NOT_AVAILABLE,False,,,,,2.4419584,0,0.015509954,0.28720677,121.88466,35.173622,1.1803591,522,27,"synthetic reversal store, scenario d2_reversal"
1626845895609073536,CONFIRMED,14.178413,2.0278645,77.02240081296118,50.829032394604425,92.744354,93.43218952613016,42.98467153712974,,,M2,-2.1854717660072396,-2.3452838542085988,0.15981208820135917,-1.8609542238709784,0.2292970552836675,-2.2700048409659854,0.0541529683377866,NOT_AVAILABLE,False,,,,,6.1947427,0,0.012591147,0.98505515,458.29663,92.16088,1.3269506,581,28,"synthetic reversal store, scenario d2_reversal"
2087564116881310720,CONFIRMED,12.62031,0.9641113,334.7389139400486,192.39146105443385,20.707445,84.38232955321931,8.478834119676833,,,,-2.559910872247881,-2.432050941852551,-0.12785993039533006,-2.4961951605214168,-0.1437397527570674,-2.81109295766427,-0.25312432470588675,NOT_AVAILABLE,False,,,,,3.7946875,1,0.0044056154,0.47297367,265.7391,58.254158,1.2175254,400,26,"synthetic reversal store, scenario d2_reversal"
2885499393281538688,SPURIOUS,16.175352,1.7250414,449.2511519981163,610.0507195066273,36.24926,242.49520565497005,-22.681900124696508,,,,-1.983063979296526,-2.026052942629248,0.04298896333272206,-1.4569355384577694,0.05211189034539987,-1.857529896356103,0.05217900245124474,NOT_AVAILABLE,False,,,,,2.663592,1,0.017393075,0.94901174,81.172264,39.16921,1.3104284,407,28,"synthetic reversal store, scenario d2_reversal"
1862008819786215040,CONFIRMED,12.072869,1.6594028,1372.9662408799563,467.2578496875315,61.61371,71.33296428163293,-3.707468654684593,,,,-2.0453811165708196,-2.4271858493789003,0.3818047328080807,-1.888744146924984,0.502709834038291,-2.148656532908515,0.46044620484522936,NOT_AVAILABLE,False,,,,,2.535685,0,0.003242168,0.26930597,116.62657,41.916325,1.2851205,555,28,"synthetic reversal store, scenario d2_reversal"
6092654861665006592,CONFIRMED,14.350184,-0.26251316,63.03228513321096,175.94268471236433,68.757904,316.4550645609588,13.036745335015544,,,,-1.9899358539134655,-2.3218088922250764,0.33187303831161086,-2.0537953581864765,-0.009758604132692028,-1.983737490236826,0.3040384947550627,NOT_AVAILABLE,False,,,,,5.0121355,0,0.062848106,1.3510518,731.35223,73.44544,1.1418788,367,14,"synthetic reversal store, scenario d2_reversal"
2080945469200565248,CONFIRMED,13.29416,0.8431864,719.1204368198655,196.64003858005705,54.25931,79.07812050473314,4.915326301229799,,,M2,-2.470246426069106,-2.40368713701882,-0.06655928905028619,-2.438874101666062,-0.16279352864093477,-2.6444459328200263,-0.17760644900084843,NOT_AVAILABLE,False,,,,,3.2676435,0,0.022767339,0.38441494,135.38364,49.73068,1.1985263,396,26,"synthetic reversal store, scenario d2_reversal"
