metric,population,n_conf,n_spur,p,auc,auc_lo,auc_hi,min_detectable_auc
astrometric_gof_al,all-65,554,304,2.484622357660695e-10,0.3695373361200836,0.32891159391031727,0.4087622316169485,0.5750000000000001
astrometric_gof_al,in-list,554,304,2.484622357660695e-10,0.3695373361200836,0.32949289259927794,0.4103294817594528,0.5750000000000001
ruwe,all-65,554,304,3.7177765862367083e-10,0.3708258122743682,0.33109012801634047,0.41012195990879724,0.5750000000000001
ruwe,in-list,554,304,3.7177765862367083e-10,0.3708258122743682,0.3313101189910697,0.4119506163309899,0.5750000000000001
